level,exp,attribute
1,50,"{""atk"":10,""arp"":5,""hpMax"":1000,""def"":5}"
2,100,"{""atk"":20,""arp"":5,""hpMax"":1100,""def"":10}"
3,150,"{""atk"":30,""arp"":5,""hpMax"":1200,""def"":15}"
4,200,"{""atk"":40,""arp"":5,""hpMax"":1300,""def"":20}"
5,250,"{""atk"":50,""arp"":5,""hpMax"":1400,""def"":25}"
6,300,"{""atk"":60,""arp"":10,""hpMax"":1500,""def"":30}"
7,350,"{""atk"":70,""arp"":10,""hpMax"":1600,""def"":35}"
8,400,"{""atk"":80,""arp"":10,""hpMax"":1700,""def"":40}"
9,450,"{""atk"":90,""arp"":10,""hpMax"":1800,""def"":45}"
10,500,"{""atk"":100,""arp"":10,""hpMax"":1900,""def"":50}"
11,550,"{""atk"":110,""arp"":15,""hpMax"":2000,""def"":55}"
12,600,"{""atk"":120,""arp"":15,""hpMax"":2100,""def"":60}"
13,650,"{""atk"":130,""arp"":15,""hpMax"":2200,""def"":65}"
14,700,"{""atk"":140,""arp"":15,""hpMax"":2300,""def"":70}"
15,750,"{""atk"":150,""arp"":15,""hpMax"":2400,""def"":75}"
16,800,"{""atk"":160,""arp"":20,""hpMax"":2500,""def"":80}"
17,850,"{""atk"":170,""arp"":20,""hpMax"":2600,""def"":85}"
18,900,"{""atk"":180,""arp"":20,""hpMax"":2700,""def"":90}"
19,950,"{""atk"":190,""arp"":20,""hpMax"":2800,""def"":95}"
20,1000,"{""atk"":200,""arp"":20,""hpMax"":2900,""def"":100}"
21,1050,"{""atk"":210,""arp"":25,""hpMax"":3000,""def"":105}"
22,1100,"{""atk"":220,""arp"":25,""hpMax"":3100,""def"":110}"
23,1150,"{""atk"":230,""arp"":25,""hpMax"":3200,""def"":115}"
24,1200,"{""atk"":240,""arp"":25,""hpMax"":3300,""def"":120}"
25,1250,"{""atk"":250,""arp"":25,""hpMax"":3400,""def"":125}"
26,1300,"{""atk"":260,""arp"":30,""hpMax"":3500,""def"":130}"
27,1350,"{""atk"":270,""arp"":30,""hpMax"":3600,""def"":135}"
28,1400,"{""atk"":280,""arp"":30,""hpMax"":3700,""def"":140}"
29,1450,"{""atk"":290,""arp"":30,""hpMax"":3800,""def"":145}"
30,1500,"{""atk"":300,""arp"":30,""hpMax"":3900,""def"":150}"
31,1550,"{""atk"":310,""arp"":35,""hpMax"":4000,""def"":155}"
32,1600,"{""atk"":320,""arp"":35,""hpMax"":4100,""def"":160}"
33,1650,"{""atk"":330,""arp"":35,""hpMax"":4200,""def"":165}"
34,1700,"{""atk"":340,""arp"":35,""hpMax"":4300,""def"":170}"
35,1750,"{""atk"":350,""arp"":35,""hpMax"":4400,""def"":175}"
36,1800,"{""atk"":360,""arp"":40,""hpMax"":4500,""def"":180}"
37,1850,"{""atk"":370,""arp"":40,""hpMax"":4600,""def"":185}"
38,1900,"{""atk"":380,""arp"":40,""hpMax"":4700,""def"":190}"
39,1950,"{""atk"":390,""arp"":40,""hpMax"":4800,""def"":195}"
40,2000,"{""atk"":400,""arp"":40,""hpMax"":4900,""def"":200}"
41,2050,"{""atk"":410,""arp"":45,""hpMax"":5000,""def"":205}"
42,2100,"{""atk"":420,""arp"":45,""hpMax"":5100,""def"":210}"
43,2150,"{""atk"":430,""arp"":45,""hpMax"":5200,""def"":215}"
44,2200,"{""atk"":440,""arp"":45,""hpMax"":5300,""def"":220}"
45,2250,"{""atk"":450,""arp"":45,""hpMax"":5400,""def"":225}"
46,2300,"{""atk"":460,""arp"":50,""hpMax"":5500,""def"":230}"
47,2350,"{""atk"":470,""arp"":50,""hpMax"":5600,""def"":235}"
48,2400,"{""atk"":480,""arp"":50,""hpMax"":5700,""def"":240}"
49,2450,"{""atk"":490,""arp"":50,""hpMax"":5800,""def"":245}"
50,2500,"{""atk"":500,""arp"":50,""hpMax"":5900,""def"":250}"
51,2550,"{""atk"":510,""arp"":55,""hpMax"":6000,""def"":255}"
52,2600,"{""atk"":520,""arp"":55,""hpMax"":6100,""def"":260}"
53,2650,"{""atk"":530,""arp"":55,""hpMax"":6200,""def"":265}"
54,2700,"{""atk"":540,""arp"":55,""hpMax"":6300,""def"":270}"
55,2750,"{""atk"":550,""arp"":55,""hpMax"":6400,""def"":275}"
56,2800,"{""atk"":560,""arp"":60,""hpMax"":6500,""def"":280}"
57,2850,"{""atk"":570,""arp"":60,""hpMax"":6600,""def"":285}"
58,2900,"{""atk"":580,""arp"":60,""hpMax"":6700,""def"":290}"
