id,reward
1,"[{""itemId"":2020000001,""count"":1}]"
2,"[{""itemId"":2020000001,""count"":2}]"
3,"[{""itemId"":2020000001,""count"":3}]"
4,"[{""itemId"":2020000001,""count"":4}]"
5,"[{""itemId"":2020000001,""count"":5}]"
6,"[{""itemId"":2020000001,""count"":6}]"
7,"[{""itemId"":2020000001,""count"":7}]"
8,"[{""itemId"":2020000001,""count"":8}]"
9,"[{""itemId"":2020000001,""count"":9}]"
10,"[{""itemId"":2020000001,""count"":10}]"
11,"[{""itemId"":2020000001,""count"":11}]"
12,"[{""itemId"":2020000001,""count"":12}]"
13,"[{""itemId"":2020000001,""count"":13}]"
14,"[{""itemId"":2020000001,""count"":14}]"
15,"[{""itemId"":2020000001,""count"":15}]"
16,"[{""itemId"":2020000001,""count"":16}]"
17,"[{""itemId"":2020000001,""count"":17}]"
18,"[{""itemId"":2020000001,""count"":18}]"
19,"[{""itemId"":2020000001,""count"":19}]"
20,"[{""itemId"":2020000001,""count"":20}]"
21,"[{""itemId"":2020000001,""count"":21}]"
22,"[{""itemId"":2020000001,""count"":22}]"
23,"[{""itemId"":2020000001,""count"":23}]"
24,"[{""itemId"":2020000001,""count"":24}]"
25,"[{""itemId"":2020000001,""count"":25}]"
26,"[{""itemId"":2020000001,""count"":26}]"
27,"[{""itemId"":2020000001,""count"":27}]"
28,"[{""itemId"":2020000001,""count"":28}]"
29,"[{""itemId"":2020000001,""count"":29}]"
30,"[{""itemId"":2020000001,""count"":30}]"
31,"[{""itemId"":2020000001,""count"":31}]"
